domain, cat, sub
hangouts.google.com, Communication, Chat
slack.com, Communication, Chat
messenger.com, Communication, Chat
skype.com, Communication, Chat
hipchat.com, Communication, Chat
campfirenow.com, Communication, Chat
tinychat.com, Communication, Chat
tokbox.com, Communication, Chat
yammer.com, Communication, Chat
facebook.com, Communication, Chat
lync.com, Communication, Chat
viber.com, Communication, Chat
line.me, Communication, Chat
bbm.com, Communication, Chat
wechat.com, Communication, Chat
whatsapp.com, Communication, Chat
imo.im, Communication, Chat
telegram.org, Communication, Chat
kik.com, Communication, Chat
kakao.com, Communication, Chat
gosms.goforandroid.com, Communication, Chat
chaton, Communication, Chat
whispersystems.org, Communication, Chat
somaapp.com, Communication, Chat
imgur.com, File Sharing, Sharing
dropbox.com, File Sharing, Sharing
extratorrent.cc, File Sharing, Sharing
mega.nz, File Sharing, Sharing
mediafire.com, File Sharing, Sharing
rarbg.to, File Sharing, Sharing
nyaa.se, File Sharing, Sharing
torrentz.eu, File Sharing, Sharing
rutracker.org, File Sharing, Sharing
4shared.com, File Sharing, Sharing
savefrom.net, File Sharing, Sharing
zippyshare.com, File Sharing, Sharing
uploaded.net, File Sharing, Sharing
box.com, File Sharing, Sharing
filehippo.com, File Sharing, Sharing
imagebam.com, File Sharing, Sharing
wetransfer.com, File Sharing, Sharing
rapidgator.net, File Sharing, Sharing
1fichier.com, File Sharing, Sharing
turbobit.net, File Sharing, Sharing
kissasian.com, File Sharing, Sharing
ex.ua, File Sharing, Sharing
nocookie.net, File Sharing, Sharing
mejortorrent.com, File Sharing, Sharing
mega.co.nz, File Sharing, Sharing
filelist.ro, File Sharing, Sharing
vidzi.tv, File Sharing, Sharing
torrentfreak.com, File Sharing, Sharing
projectfreetv.in, File Sharing, Sharing
elitetorrent.net, File Sharing, Sharing
isohunt.to, File Sharing, Sharing
postimg.org, File Sharing, Sharing
fast-torrent.ru, File Sharing, Sharing
xrutor.org, File Sharing, Sharing
k2s.cc, File Sharing, Sharing
torrentdownloads.me, File Sharing, Sharing
iptorrents.com, File Sharing, Sharing
sendspace.com, File Sharing, Sharing
utorrent.com, File Sharing, Sharing
usenet.nl, File Sharing, Sharing
tinypic.com, File Sharing, Sharing
promptfile.com, File Sharing, Sharing
limetorrents.cc, File Sharing, Sharing
solidfiles.com, File Sharing, Sharing
couchtuner.ag, File Sharing, Sharing
itorrents.org, File Sharing, Sharing
depositfiles.com, File Sharing, Sharing
cztorrent.net, File Sharing, Sharing
torrentday.com, File Sharing, Sharing